Grupa,Asistent,"Notă finală",Total,"Examen grilă final (maxim 10)","Total lucrări de curs (maxim 10)","Lucrare de curs 1 (maxim 5)","Lucrare de curs 2 (maxim 5)","Lucrare de curs 3 (maxim 5)","Total teme (maxim 10)",Tema 0 (maxim 10),"Tema 1 (maxim 10)","Tema 2 (maxim 10)","Tema 3 (maxim 10)","Tema 4 (maxim 10)","Midterm practic (maxim 10)","Final practic (maxim 10)","Final practic refacere (maxim 10)",Total laborator,Lab00,Lab01,Lab02,Lab03,Lab04,Lab05,Lab06,Lab07,Lab08,Lab09,Lab10,Lab11,Lab12,Observații
315CA,,a,0.5,,0,,,,0.8,10.0,,,,,,,,3,,,10.0,,10.0,,,10.0,,,,,,
315CA,,10.0,9.715,7.34,10,3.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,9.3,7.8,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,8.0,7.8115,5.67,6.666666667,3.0,0.0,5.0,9.616,10.0,10.0,8.8,10.0,,4.9,6.0,,10,,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,8.0,8.03,5.96,8.333333333,2.0,5.0,3.0,9.04,10.0,10.0,8.8,8.2,,7.3,5.2,,10,,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,9.0,9.3695,7.13,6.666666667,3.0,4.0,1.0,9.968,10.0,10.0,11.0,8.9,,6.2,9.9,,10,,12.0,10.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,
315CA,,8.0,7.9875,6.83,9.166666667,3.0,4.0,4.0,3.6,10.0,10.0,-10.0,10.0,,8.3,8.7,,10,,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,9.0,9.464,6.92,6.666666667,1.0,4.0,3.0,9.616,10.0,10.0,8.8,10.0,,8.3,11.3,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,9.0,9.0815,4.71,7.5,3.0,3.0,3.0,9.616,10.0,10.0,8.8,10.0,,10.0,9.5,,10,,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,10.0,10.01,7.04,8.333333333,2.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,12.0,12.0,,10,,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,10.0,9.924,9.46,10,3.0,5.0,4.0,9.616,10.0,10.0,8.8,10.0,,7.3,7.7,,10,,12.0,10.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,10.0,10.575,8.58,10,3.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,9.3,12.0,,10,,10.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,9.0,8.66,8.04,6.666666667,3.0,0.0,5.0,10,10.0,10.0,10.5,10.0,,10.3,4.6,,10,,12.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,
315CA,,6.0,6.0755,3.29,4.166666667,2.0,1.0,2.0,6.692,10.0,3.9,7.9,7.1,,4.3,2.6,6.1,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,7.0,7.2625,5.01,5,2.0,2.0,2.0,9.04,10.0,10.0,8.8,8.2,,7.0,5.2,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CB,,abs,0,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,
311CB,EM,7.0,7.35475,4.499,7.5,4.0,2.0,3.0,8.6,10.0,9.0,8.8,7.7,,6.8,5.1,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CB,EM,10.0,10.40775,9.251,9.166666667,2.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,7.2,10.5,,10,x,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,
311CB,EM,9.0,9.31075,7.623,6.666666667,4.0,3.0,1.0,10,10.0,10.0,11.0,10.0,,8.3,8.3,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,10.0,
311CB,EM,9.0,8.674,6.996,7.5,3.0,3.0,3.0,10,10.0,10.0,10.5,10.0,,6.0,6.8,,10,x,9.5,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,12.0,12.0,10.0,
311CB,EM,8.0,8.07325,4.873,6.666666667,5.0,2.0,1.0,10,10.0,10.0,11.0,10.0,,5.8,7.1,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CB,AS,7.0,6.762,6.248,5,,3.0,3.0,5.52,10.0,10.0,6.0,,,4.7,6.4,,10,X,12.0,12.0,,10.0,10.0,8.0,9.0,10.0,7.0,12.0,10.0,10.0,
311CB,EM,abs,2.545,,4.166666667,4.0,1.0,,3.6,10.0,10.0,,,,4.3,,,5.9,x,9.0,10.0,10.0,10.0,10.0,10.0,,,,,,,
311CB,AS,10.0,10.3425,7.37,10,4.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,11.3,11.0,,10,X,12.0,12.0,11.0,12.0,11.0,10.0,12.0,10.0,10.0,12.0,12.0,10.0,
311CB,AS,10.0,10.67275,9.251,10,5.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,8.6,11.1,,10,X,12.0,12.0,11.0,12.0,10.0,10.0,9.0,11.0,9.0,12.0,12.0,10.0,
311CB,EM,7.0,7.09175,5.247,10,4.0,4.0,4.0,0.4,10.0,10.0,-10.0,,,8.8,9.2,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,
311CB,AS,10.0,10.2225,8.25,10,4.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,6.6,10.0,,10,X,12.0,12.0,10.0,10.0,,9.0,9.0,10.0,8.0,12.0,10.0,10.0,
311CB,AS,8.0,8.1085,6.754,7.5,5.0,3.0,1.0,9.04,10.0,10.0,8.8,8.2,,6.1,5.7,,10,X,12.0,12.0,8.0,10.0,10.0,10.0,9.0,10.0,7.0,12.0,0.0,10.0,
311CB,EM,6.0,6.1885,5.874,8.333333333,4.0,3.0,3.0,3.6,10.0,10.0,-10.0,10.0,,3.7,4.8,,10,x,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CB,EM,8.0,7.517,7.128,7.5,3.0,2.0,4.0,9.52,,10.0,11.0,10.0,,3.8,3.4,,10,x,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,
311CB,EM,6.0,5.6035,9.13,5.833333333,1.0,3.0,3.0,1.344,10.0,,1.7,,,2.6,3.4,,10,x,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CB,AS,10.0,10.9365,9.746,10,4.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,12.0,11.5,,10,X,12.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,8.0,12.0,12.0,10.0,
311CB,AS,10.0,10.779,9.372,10,5.0,5.0,5.0,9.744,10.0,10.0,11.0,8.2,,12.0,12.0,,10,X,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,
311CB,EM,10.0,10.48575,8.503,10,4.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,8.6,11.5,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CB,AS,10.0,9.812,6.248,10,4.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,7.5,12.0,,10,X,12.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,8.0,12.0,10.0,10.0,
311CB,EM,10.0,10.675,10.879,10,4.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,10.0,8.7,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,
311CB,,abs,0,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,
311CB,AS,9.0,8.9155,6.622,9.166666667,4.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,6.1,7.1,,10,X,12.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,10.0,10.0,
311CB,AS,10.0,9.5045,5.126,9.166666667,3.0,4.0,4.0,9.392,10.0,10.0,11.0,7.1,,12.0,10.9,,10,X,12.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,
311CB,AS,10.0,10.49125,7.997,10,5.0,5.0,4.0,9.968,10.0,10.0,11.0,8.9,,10.0,10.6,,10,X,12.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,8.0,12.0,10.0,10.0,
311CB,AS,10.0,9.99375,6.875,9.166666667,4.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,9.0,12.0,,10,X,12.0,12.0,10.0,12.0,10.0,9.0,9.0,10.0,8.0,12.0,10.0,10.0,
311CB,EM,10.0,9.61125,8.129,9.166666667,3.0,4.0,4.0,9.616,10.0,10.0,8.8,10.0,,5.0,9.2,,10,x,10.0,10.0,10.0,12.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,10.0,
312CB,ACM,10.0,10.68625,8.745,10,5.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,10.3,10.1,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,
312CB,,abs,0,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,
312CB,ACM,8.0,7.78775,5.995,7.5,3.0,4.0,2.0,9.616,10.0,10.0,8.8,10.0,,4.6,5.2,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,8.0,7.77625,5.621,9.166666667,2.0,4.0,5.0,9.744,10.0,10.0,11.0,8.2,,4.1,4.6,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,
312CB,ACM,9.0,9.34275,5.995,10,5.0,3.0,5.0,9.616,10.0,10.0,8.8,10.0,,5.9,9.4,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,8.0,8.366,6.38,5.833333333,4.0,2.0,1.0,9.744,10.0,10.0,11.0,8.2,,6.6,7.2,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,10.0,10.17075,8.503,10,5.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,7.2,9.3,,10,x,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,10.0,10.45075,8.503,9.166666667,4.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,11.2,9.8,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,
312CB,ACM,10.0,10.706,9.504,10,5.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,8.3,10.8,,10,x,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,
312CB,ACM,10.0,9.786,8.624,7.5,3.0,4.0,2.0,10,10.0,10.0,11.0,10.0,,6.3,9.5,,10,x,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,9.0,9.0615,6.754,10,5.0,4.0,5.0,9.552,10.0,10.0,10.5,8.1,,6.6,7.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,10.0,9.524,6.996,10,5.0,5.0,2.0,10,10.0,10.0,11.0,10.0,,8.0,7.9,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,
312CB,ACM,9.0,8.676,9.504,10,5.0,5.0,5.0,3.6,10.0,10.0,-10.0,10.0,,10.8,7.6,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,,
312CB,ACM,7.0,6.61475,5.379,5.833333333,1.0,3.0,3.0,3.6,10.0,10.0,-10.0,10.0,,3.7,8.5,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,,
312CB,ACM,10.0,9.531,6.38,6.666666667,3.0,5.0,,9.744,10.0,10.0,11.0,8.2,,12.0,10.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,10.0,10.9695,9.878,10,5.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,12.0,12.0,,10,x,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,
312CB,ACM,10.0,11,10.12,10,5.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,10.8,10.1,,10,x,10.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,9.0,9.3635,6.754,8.333333333,3.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,10.0,7.7,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,
312CB,ACM,10.0,9.689,6.996,10,5.0,4.0,5.0,10,10.0,10.0,10.5,10.0,,5.9,9.4,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,abs,2.204,,3.333333333,2.0,0.0,2.0,2.296,,8.2,,,,1.5,,,9.8,x,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,8.0,10.0,,10.0,
312CB,ACM,9.0,8.67125,7.249,8.333333333,3.0,3.0,4.0,9.616,10.0,10.0,8.8,10.0,,7.3,5.9,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,
312CB,ACM,8.0,7.529,5.5,5.833333333,3.0,2.0,2.0,9.616,10.0,10.0,8.8,10.0,,5.0,5.5,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,
312CB,ACM,10.0,10.501,9.504,7.5,4.0,4.0,1.0,10,10.0,10.0,11.0,10.0,,10.5,10.0,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,
312CB,ACM,10.0,10.2625,8.25,10,5.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,8.5,9.4,,10,x,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,ACM,4.0,3.6845,4.378,5.833333333,3.0,0.0,4.0,0.4,10.0,10.0,-10.0,,,3.8,1.3,,9.1,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,,11.0,,
312CB,ACM,9.0,8.959,6.996,8.333333333,3.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,3.6,8.4,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CB,,abs,0,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,
312CB,ACM,9.0,8.4865,5.126,9.166666667,3.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,5.3,7.2,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
313CB,VC,10.0,10.93,10.373,10,3.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,9.3,12.0,,10,x,10.0,11.0,10.0,12.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,
313CB,VC,6.0,5.73625,3.245,0.8333333333,0.0,0.0,1.0,10,10.0,10.0,11.0,10.0,,2.5,4.2,,10,x,9.0,8.0,7.0,8.0,7.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,
313CB,ST,10.0,9.88075,8.503,10,5.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,7.8,7.9,,10,x,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,
313CB,EM,7.0,6.9305,4.378,7.5,4.0,2.0,3.0,7.504,10.0,10.0,4.0,8.2,,4.6,5.5,,10,x,10.0,10.0,10.0,12.0,10.0,10.0,,10.0,11.0,12.0,10.0,,
313CB,VC,9.0,8.982,7.128,7.5,2.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,7.5,7.3,,10,x,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,
313CB,FO,abs,0,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,
313CB,VC,8.0,8.0425,6.622,7.5,3.0,4.0,2.0,8.528,10.0,10.0,11.0,4.4,,5.8,6.2,,10,x,10.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,
313CB,ST,8.0,8.354,7.876,9.166666667,4.0,2.0,5.0,3.6,10.0,10.0,-10.0,10.0,,6.1,10.3,,10,x,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,
313CB,VC,7.0,7.097,4.752,5.833333333,4.0,1.0,2.0,9.616,10.0,10.0,8.8,10.0,,3.3,5.2,,10,x,9.0,8.0,7.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,
313CB,ST,10.0,9.59425,7.997,5.833333333,3.0,3.0,1.0,8.88,10.0,10.0,11.0,5.5,,11.5,12.0,,10,x,10.0,10.0,10.0,12.0,12.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,
313CB,VC,10.0,9.71275,8.371,6.666666667,3.0,3.0,2.0,10,10.0,10.0,11.0,10.0,,6.2,10.4,,10,x,10.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,
313CB,VC,8.0,7.7155,4.246,5.833333333,3.0,1.0,3.0,9.616,10.0,10.0,8.8,10.0,,5.5,7.3,,10,x,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,
313CB,VC,10.0,10.423,9.372,8.333333333,5.0,2.0,3.0,10,10.0,10.0,11.0,10.0,,12.0,10.7,,8.3,x,10.0,10.0,10.0,12.0,10.0,10.0,11.0,,,,,10.0,
313CB,FO,6.0,6.1405,5.126,5.833333333,2.0,3.0,2.0,7.896,10.0,9.0,8.8,5.5,,3.7,4.2,,5.9,x,9.0,8.0,7.0,8.0,7.0,,10.0,,,,,10.0,
313CB,VC,8.0,7.5925,8.25,4.166666667,1.0,2.0,2.0,10,10.0,10.0,11.0,10.0,,2.3,4.7,,10,x,9.0,8.0,7.0,7.0,8.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,
313CB,ST,10.0,10.9365,9.746,10,4.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,10.3,12.0,,10,x,10.0,10.0,11.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,
313CB,VC,6.0,6.3715,2.75,5,0.0,4.0,2.0,9.616,10.0,10.0,8.8,10.0,,4.8,4.2,,10,x,10.0,8.0,7.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,
313CB,ST,8.0,8.23725,7.249,7.5,4.0,2.0,3.0,9.36,10.0,10.0,11.0,7.0,,5.1,5.8,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,
313CB,ST,4.0,2.2945,2.002,0.8333333333,0.0,0.0,1.0,1.316,,4.7,,,,1.8,1.8,,7.1,,8.0,6.0,8.0,9.0,9.0,4.0,10.0,10.0,,5.0,2.0,,
313CB,VC,10.0,9.8645,8.998,10,4.0,4.0,5.0,10,10.0,10.0,10.5,10.0,,5.4,8.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
313CB,ST,6.0,5.82725,2.629,2.5,1.0,2.0,0.0,10,10.0,10.0,11.0,10.0,,3.7,3.7,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,,
313CB,ST,6.0,5.80025,2.629,1.666666667,1.0,,1.0,9.392,10.0,10.0,8.1,10.0,,3.2,4.9,,10,,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,
313CB,ST,9.0,9.15475,4.499,9.166666667,3.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,8.3,9.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,
313CB,ST,8.0,8.057,6.38,10,5.0,4.0,3.0,9.328,10.0,10.0,10.2,7.7,,5.3,4.4,,10,x,10.0,10.0,10.0,12.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,
313CB,ST,8.0,7.579,6.38,6.666666667,4.0,4.0,,6.416,10.0,10.0,8.8,,,8.3,6.2,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,
313CB,VC,5.0,5.02375,3.003,5,1.0,2.0,3.0,5.812,10.0,5.9,5.0,5.5,,2.7,3.2,,10,x,9.0,8.0,7.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,
313CB,VC,7.0,6.49975,3.751,5,1.0,3.0,2.0,8.728,10.0,9.0,8.8,8.1,,3.3,5.2,,10,x,9.0,7.0,7.0,8.0,7.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,
313CB,ST,10.0,9.6225,7.37,7.5,3.0,3.0,3.0,9.36,10.0,10.0,8.0,10.0,,8.4,9.9,,10,x,10.0,10.0,11.0,12.0,10.0,10.0,12.0,11.0,11.0,12.0,10.0,10.0,
314CB,CS,10.0,10.583,9.372,10,5.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,7.4,10.4,,10,x,10.0,11.0,11.0,12.0,10.0,10.0,12.0,11.0,11.0,12.0,10.0,10.0,
314CB,CS,8.0,7.673,4.752,5,1.0,4.0,1.0,10,10.0,10.0,11.0,10.0,,7.6,5.9,,10,x,10.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,
314CB,FO,8.0,8.32,6.38,5.833333333,2.0,4.0,1.0,10,10.0,10.0,11.0,10.0,,8.0,6.2,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,CS,8.0,7.919,6.38,8.333333333,2.0,3.0,5.0,8.536,10.0,8.2,8.8,8.2,,5.9,5.4,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,
314CB,FO,8.0,7.573,6.248,5.833333333,2.0,3.0,2.0,7.644,10.0,6.5,8.0,7.7,,6.5,6.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
314CB,ST,abs,0.625,,0.8333333333,,0.0,1.0,0,,,,,,,,,5,,,,,10.0,10.0,10.0,10.0,,,,10.0,,
314CB,CS,10.0,10.271,8.624,10,4.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,7.4,9.5,,10,x,10.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,
314CB,CS,10.0,9.5215,9.746,9.166666667,5.0,4.0,2.0,9.04,10.0,10.0,8.8,8.2,,6.5,7.2,,10,x,9.0,11.0,10.0,11.0,11.0,10.0,10.0,,11.0,10.0,10.0,10.0,
314CB,CS,10.0,10.90625,9.625,10,4.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,12.0,11.1,,10,x,11.0,11.0,12.0,12.0,11.0,10.0,12.0,11.0,11.0,12.0,11.0,10.0,
314CB,CS,6.0,6.37975,4.499,9.166666667,3.0,4.0,4.0,5.36,10.0,10.0,5.5,,,3.9,4.6,,10,x,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,
314CB,CS,9.0,9.355,6.38,10,4.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,8.1,7.8,,10,x,10.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,
314CB,CS,9.0,9.271,8.624,10,4.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,5.4,6.3,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,CS,10.0,10.10125,8.745,10,4.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,6.9,8.9,,10,x,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
314CB,FO,10.0,10.081,8.624,10,5.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,8.0,8.5,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,FO,7.0,6.56175,6.127,3.333333333,3.0,1.0,0.0,3.6,10.0,10.0,-10.0,10.0,,5.3,8.4,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,FO,7.0,7.19925,3.377,3.333333333,2.0,1.0,1.0,10,10.0,10.0,11.0,10.0,,5.8,7.1,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,CS,7.0,6.674,3.872,5.833333333,2.0,2.0,3.0,8.304,10.0,10.0,8.8,5.9,,5.8,4.7,,10,,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,CS,5.0,5.07925,3.377,4.166666667,2.0,1.0,2.0,3.6,10.0,10.0,-10.0,10.0,,2.6,5.8,,10,x,10.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,
314CB,FO,6.0,6.01075,2.123,3.333333333,2.0,2.0,,8.88,10.0,10.0,10.5,6.0,,4.1,5.4,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,FO,7.0,7.42725,4.125,5,3.0,2.0,1.0,9.584,10.0,10.0,10.5,8.2,,5.5,6.8,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,FO,7.0,7.39875,6.875,7.5,2.0,3.0,4.0,3.6,10.0,10.0,-10.0,10.0,,4.8,8.7,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,FO,7.0,6.60975,3.751,4.166666667,2.0,2.0,1.0,8.368,10.0,10.0,10.5,4.4,,7.3,4.9,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
314CB,FO,9.0,9.1695,6.754,5.833333333,2.0,2.0,3.0,8.944,10.0,10.0,10.1,6.6,,9.7,9.6,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CB,,abs,0,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,
314CB,FO,7.0,6.51625,4.125,6.666666667,2.0,5.0,1.0,9.36,10.0,10.0,8.0,10.0,,3.2,3.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
